Name,#,Goals,Assists,Blocks,Throwing Errors,Receiving Errors,Turnovers,+/-,Offense Points Played,Defense Points Played,Total Points Played
Silvano Puliafito,50,1,1,0,2,0,2,0,4,0,4
Ricardo Fungairiño,53,0,0,0,2,0,2,-2,7,0,7
Quinn Bergenon,44,0,1,0,2,0,2,-1,6,1,7
Luca Godenzini,66,0,1,1,1,0,1,1,6,1,7
Hagen Söding,39,1,0,0,2,0,2,-1,6,0,6
Martin Fähndrich,18,1,0,0,2,3,5,-4,2,6,8
Moritz Rövekamp,3,0,1,0,1,2,3,-2,2,5,7
Steffen Van,82,1,0,0,0,0,0,1,7,0,7
Mario Correia,33,0,0,0,0,0,0,0,2,5,7
Victor Qin,11,0,0,0,0,0,0,0,0,3,3
Finn Beiglboeck,26,0,0,0,0,0,0,0,1,3,4
Yong Da Li,35,0,0,0,0,0,0,0,0,0,0
Valentin Imbach,5,0,0,0,0,0,0,0,2,4,6
Yannick Kummer,20,0,0,0,0,0,0,0,0,2,2
