Name,#,Goals,Assists,Blocks,Throwing Errors,Receiving Errors,Turnovers,+/-,Offense Points Played,Defense Points Played,Total Points Played
Mario Correia,33,0,0,0,3,0,3,-3,3,3,6
Quinn Bergenon,44,1,3,0,2,0,2,2,5,6,11
Valentin Imbach,5,0,0,1,1,2,3,-2,3,3,6
Luca Godenzini,66,1,0,0,2,0,2,-1,3,3,6
Martin Fähndrich,18,3,2,1,1,0,1,5,3,3,6
Moritz Rövekamp,3,1,1,0,1,0,1,1,3,3,6
Steffen Van,82,0,1,0,0,1,1,0,3,3,6
Victor Qin,11,0,0,1,0,0,0,1,3,3,6
Yannick Kummer,20,1,0,1,0,0,0,2,2,3,5
Ricardo Fungairiño,53,1,0,1,0,0,0,2,2,3,5
Silvano Puliafito,50,0,1,0,0,0,0,1,2,3,5
Hagen Söding,39,0,0,0,0,0,0,0,2,3,5
Finn Beiglboeck,26,0,0,0,0,0,0,0,3,3,6
Yong Da Li,35,0,0,0,0,0,0,0,3,3,6
