Name,#,Goals,Assists,Blocks,Throwing Errors,Receiving Errors,Turnovers,+/-,Offense Points Played,Defense Points Played,Total Points Played
Quinn Bergenon,44,3,2,0,1,0,1,4,8,0,8
Mario Correia,33,1,2,0,1,0,1,2,1,9,10
Martin Fähndrich,18,1,3,0,2,0,2,2,1,11,12
Ricardo Fungairiño,53,3,1,0,2,0,2,2,8,1,9
Steffen Van,82,0,1,1,1,0,1,1,7,1,8
Moritz Rövekamp,3,2,1,0,1,0,1,2,1,9,10
Silvano Puliafito,50,0,1,0,0,0,0,1,6,0,6
Hagen Söding,39,0,0,0,0,0,0,0,5,1,6
Luca Godenzini,66,0,0,0,0,0,0,0,6,1,7
Victor Qin,11,1,1,0,0,0,0,2,1,7,8
Finn Beiglboeck,26,1,0,0,0,0,0,1,0,7,7
Yong Da Li,35,0,0,0,0,0,0,0,0,8,8
Valentin Imbach,5,1,0,0,0,0,0,1,1,5,6
Yannick Kummer,20,0,0,0,0,0,0,0,0,0,0
