Name,#,Goals,Assists,Blocks,Throwing Errors,Receiving Errors,Turnovers,+/-,Offense Points Played,Defense Points Played,Total Points Played
Mario Correia,33,0,0,0,3,0,3,-3,4,4,8
Luca Godenzini,66,0,0,0,1,0,1,-1,4,2,6
Victor Qin,11,0,0,0,1,0,1,-1,3,5,8
Martin Fähndrich,18,2,2,0,3,0,3,1,4,8,12
Yannick Kummer,20,0,1,0,1,0,1,0,4,2,6
Finn Beiglboeck,26,1,1,0,1,0,1,1,3,5,8
Yong Da Li,35,0,0,0,0,1,1,-1,3,2,5
Valentin Imbach,5,1,1,1,0,0,0,3,5,2,7
Silvano Puliafito,50,1,0,0,0,0,0,1,5,1,6
Hagen Söding,39,0,0,0,0,0,0,0,6,2,8
Ricardo Fungairiño,53,2,1,0,0,0,0,3,9,4,13
Quinn Bergenon,44,0,2,0,0,0,0,2,4,7,11
Steffen Van,82,1,2,0,0,0,0,3,7,3,10
Moritz Rövekamp,3,4,2,0,0,0,0,6,3,8,11
