Name,#,Goals,Assists,Blocks,Throwing Errors,Receiving Errors,Turnovers,+/-,Offense Points Played,Defense Points Played,Total Points Played
Steffen Van,82,0,0,0,2,0,2,-2,5,4,9
Hagen Söding,39,0,0,0,2,0,2,-2,4,2,6
Martin Fähndrich,18,4,1,0,2,0,2,3,9,3,12
Yannick Kummer,20,0,2,1,1,0,1,2,6,1,7
Quinn Bergenon,44,2,1,0,1,0,1,2,8,4,12
Mario Correia,33,0,2,0,1,0,1,1,1,9,10
Luca Godenzini,66,0,1,1,0,0,0,2,4,1,5
Valentin Imbach,5,0,1,2,0,0,0,3,1,5,6
Silvano Puliafito,50,1,0,0,0,0,0,1,6,0,6
Ricardo Fungairiño,53,1,3,0,0,0,0,4,7,4,11
Moritz Rövekamp,3,3,0,0,0,0,0,3,3,8,11
Victor Qin,11,0,0,0,0,0,0,0,1,4,5
Finn Beiglboeck,26,0,0,0,0,0,0,0,0,0,0
Yong Da Li,35,0,0,0,0,0,0,0,0,5,5
